#,Category,Status,Languages,Age 0-3,Age 3-6,Age 6+,Videos
1,Shapes With Ms Isha,Active,"English, Hindi",Yes,Yes,Yes,14
2,Tara,Inactive,"English, Hindi",Yes,Yes,Yes,0
3,Riya,Inactive,"English, Hindi",Yes,Yes,Yes,0
4,Arjun,Inactive,"English, Hindi",Yes,Yes,Yes,0
5,Chiku,Inactive,"English, Hindi",Yes,Yes,Yes,0
6,Golu,Inactive,"English, Hindi",Yes,Yes,Yes,0
7,Guddi,Inactive,"English, Hindi",Yes,Yes,Yes,0
8,Jai,Inactive,"English, Hindi",Yes,Yes,Yes,0
9,Mia,Inactive,"English, Hindi",Yes,Yes,Yes,0
10,Priya,Inactive,"English, Hindi",Yes,Yes,Yes,0
11,Sher Singh,Inactive,"English, Hindi",Yes,Yes,Yes,2
12,Sheru,Inactive,"English, Hindi",Yes,Yes,Yes,0
13,Teja,Inactive,"English, Hindi",Yes,Yes,Yes,0
14,Veer,Inactive,"English, Hindi",Yes,Yes,Yes,0
15,Zoya,Inactive,"English, Hindi",Yes,Yes,Yes,0
16,Mishka And Momo,Active,"English, Hindi",Yes,Yes,Yes,8
17,Akbar And Birbal,Active,"English, Hindi",Yes,Yes,Yes,10
18,Visit New Countries,Active,"English, Hindi",No,Yes,Yes,7
19,Write Your Alphabets,Active,"English, Hindi",No,Yes,No,62
20,Write Your Numbers,Active,"English, Hindi",No,Yes,No,26
21,How Gadgets Work,Active,"English, Hindi",No,No,Yes,2
22,Krishna,Active,"English, Hindi",Yes,Yes,Yes,20
23,Panchatantra,Active,"English, Hindi",Yes,Yes,Yes,38
24,Tenali,Active,"English, Hindi",Yes,Yes,Yes,22
25,Sindbad,Active,"English, Hindi",Yes,Yes,Yes,49
26,Hanuman,Active,"English, Hindi",Yes,Yes,Yes,12
27,Aladdin,Active,"English, Hindi",Yes,Yes,Yes,19
28,Pronounce With Ms Nidhi,Active,"English, Hindi",No,Yes,No,38
29,Maths With Ms Pranika,Active,"English, Hindi",No,Yes,No,0
30,Greater & Lesser - To Delete,Inactive,"English, Hindi",No,Yes,No,2
31,Play With Patterns,Active,"English, Hindi",No,Yes,Yes,10
32,Spot Moving Vehicles,Active,"English, Hindi",Yes,Yes,No,163
33,Division,Active,"English, Hindi",No,No,Yes,20
34,Clothes,Inactive,"English, Hindi",Yes,No,No,0
35,About India,Active,"English, Hindi",No,Yes,No,63
36,Money,Active,"English, Hindi",No,No,Yes,41
37,New Words,Inactive,"English, Hindi",Yes,No,No,0
38,Odd & Even,Active,"English, Hindi",No,Yes,No,5
39,Learn Your ABC,Active,"English, Hindi",Yes,Yes,No,198
40,Fractions,Active,"English, Hindi",No,No,Yes,13
41,Read Simple Words,Active,"English, Hindi",No,Yes,No,100
42,Find Things Around,Active,"English, Hindi",Yes,Yes,No,81
43,Subtract With Fun,Active,"English, Hindi",No,Yes,Yes,49
44,Art & Craft,Active,"English, Hindi",No,Yes,No,13
45,Spot Different Shapes,Active,"English, Hindi",Yes,Yes,No,97
46,Before & After Numbers,Active,"English, Hindi",No,Yes,No,0
47,Environment,Inactive,"English, Hindi",Yes,No,No,0
48,Maths,Inactive,"English, Hindi",No,Yes,Yes,0
49,ABC Learning,Inactive,"English, Hindi",Yes,Yes,No,0
50,Vehicles and Safety,Inactive,"English, Hindi",Yes,No,No,0
51,Musical instruments,Active,"English, Hindi",Yes,No,No,20
52,Name Your Veggies,Active,"English, Hindi",Yes,Yes,No,110
53,Stories,Active,"English, Hindi",No,Yes,No,19
54,Know Body Parts,Active,"English, Hindi",Yes,Yes,Yes,142
55,Explore Different Sports,Active,"English, Hindi",No,No,Yes,87
56,Greater & Lesser,Active,"English, Hindi",No,Yes,Yes,15
57,Dinosaur,Active,"English, Hindi",No,Yes,No,1
58,Songs,Inactive,"English, Hindi",No,Yes,No,1
59,Food & Healthy eating,Inactive,"English, Hindi",Yes,No,No,0
60,Numbers & Easy Math,Inactive,"English, Hindi",Yes,No,No,0
61,Learn Color names,Active,"English, Hindi",Yes,Yes,No,136
62,Sing Along Rhymes,Active,"English, Hindi",Yes,No,No,246
63,Prepositions,Active,"English, Hindi",No,No,Yes,42
64,English Speaking,Inactive,"English, Hindi",Yes,No,No,0
65,Counting,Active,"English, Hindi",No,Yes,No,50
66,Stay Safe Everyday,Active,"English, Hindi",No,Yes,No,43
67,Find Favorite Toys,Active,"English, Hindi",Yes,Yes,No,47
68,Colors & Shapes,Inactive,"English, Hindi",Yes,No,No,0
69,Things & Objects,Inactive,"English, Hindi",Yes,No,No,0
70,Animals & Nature,Inactive,"English, Hindi",Yes,No,No,0
71,Meet Your Family,Active,"English, Hindi",Yes,No,No,54
72,Entertainment,Inactive,"English, Hindi",Yes,No,No,687
73,Learn Opposite Words,Active,"English, Hindi",No,Yes,Yes,70
74,Let's Go Outside,Active,"English, Hindi",Yes,No,No,28
75,Speak Simple Hindi,Active,Hindi,Yes,No,No,58
76,Start With Sentences,Active,"English, Hindi",No,Yes,No,86
