playlist_id,title,age_groups,Language
ab872b28-2e64-4e60-ba64-9aa4c4371902,Miscellaneous,"[{""S"":""3-6""}]",Both
5bc39ba0-a18b-42a9-9176-736112991697,Choose Healthy Foods,"[{""S"":""3-6""},{""S"":""0-3""}]",Both
9a59f542-5fa3-4565-8f2e-3cb0ed935bbe,Safety,"[{""S"":""0-3""},{""S"":""3-6""}]",Both
9f3e9c48-a435-41e0-8680-59aa56c0af93,Body Parts,"[{""S"":""3-6""}]",Both
d4e7915e-50a8-4156-bcba-2e3b5ad86f68,Geography,"[{""S"":""3-6""}]",Both
4e8e2dbf-bad4-4a56-8365-251a1cfc4a10,Learn New Words,"[{""S"":""0-3""},{""S"":""3-6""}]",Both
8c6fb929-3c96-4d66-b900-b23df6c6f6fc,English Stories,"[{""S"":""3-6""},{""S"":""6+""}]",English
dfc77d75-4b9c-4e1d-aa48-47542154a6b4,Hindi Stories,"[{""S"":""3-6""},{""S"":""6+""}]",Hindi
90ff5296-5b99-4ddf-8bdf-ac55f6f7b6c2,How Are You,"[{""S"":""0-3""},{""S"":""3-6""}]",Both
cfcfae4d-859a-4785-901c-58967713074c,Vyanjan,"[{""S"":""3-6""}]",Hindi
18ae1c51-e0c5-4df1-94f6-30f5e6732dd3,What Do They Do,"[{""S"":""0-3""}]",Both
f476a63c-f5d0-4454-afee-eb96182ff983,Watch Plants Grow,"[{""S"":""0-3""},{""S"":""6+""},{""S"":""3-6""}]",Both
655a5081-8ce4-4cfc-b36d-d5d0d1a06c1e,Celebrate With Everyone,"[{""S"":""0-3""},{""S"":""3-6""}]",Both
5bfccc14-89d5-4762-b8fa-b44d1dde07b7,Paryayvachi Shabd,"[{""S"":""3-6""}]",Hindi
3579ea01-b32b-40f9-aac1-be5997a17606,3D Shapes,"[{""S"":""6+""}]",Both
7f104108-2a0b-4ef6-ae47-dd084674c0e6,Count With Confidence,"[{""S"":""0-3""},{""S"":""3-6""}]",Both
61d5066e-0470-45e3-8a5b-54a0703db8c0,Time,"[{""S"":""6+""}]",Both
fec06a4b-b277-4fe2-8fff-bb40451bf2d9,Varnmala,"[{""S"":""3-6""}]",Hindi
23f8ee1c-7072-4334-8639-db088392865f,My Body & Clean Habits,"[{""S"":""3-6""}]",Both
082afe7e-c1ce-4ae5-bf8d-8100e8a49d03,Cities,"[{""S"":""3-6""}]",Both
40d567cd-95aa-469e-b7a8-da623f2579d8,Meet Tiny Insects,"[{""S"":""3-6""},{""S"":""0-3""}]",Both
c06e196f-39fa-4dc0-a9ba-0f036f7bc248,Meet Farm Animals,"[{""S"":""3-6""},{""S"":""0-3""}]",Both
b79bd45b-2c9c-4b7d-91a0-07c93a4dbea1,Sounds & Words,"[{""S"":""3-6""},{""S"":""6+""}]",Both
0eba9676-9d93-484f-8938-41e3ab588a7f,Speak With Confidence,"[{""S"":""3-6""},{""S"":""6+""}]",Both
eb5f90b5-3650-49b9-95b6-d4e3a89c0662,Explore Nature Around,"[{""S"":""0-3""},{""S"":""6+""},{""S"":""3-6""}]",Both
