Video Name,Day Number,IC Name,IC Role,Status,Age Group,Audio By,Category,Final Video Hindi Link,Submission Date,Day Lable,Age wise,Audio Link,Blocker,Category Drive Link,Characters,Correction/GTG,Re-do,Final - Nikita,Final - Iraavi,Final - Shashank,Final Link,Folder link,Frame Link,GTG/Correction,Nikita - 1st Draft,Iraavi - 1st draft,Shashank - 1st Draft,Upload,Upload Date,Content Type,Approval - 1,Approval - 2,Approval 1,Approval 2,Batch ID,Category type,Dubbed,Dubbed 2,English Title on App,Final Video English Link,Hindi Title on App,Language,Rating,Reason for re-doing,Status Option,Upload Progress,Video Link - 1,Video Link 2
,,,,,,,,,,,,,,,,,No,No,No,No,,,,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,No,No,No,No,,,,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,No,No,No,No,,,,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,No,No,No,No,,,,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,No,No,No,No,,,,,No,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
test,30,Ashish,Animator,Uploaded,under 3,,Hindi Poems,,"May 17, 2026",Day 30 — May 17,5-6,,,,,,No,No,No,No,,,,,No,No,No,Yes,"May 17, 2026",,No,No,No,No,,,,,,,,,,,,,,
105_3-6_Ordering to 1-20,29,Aishwarya,Animator,Uploaded,3-6 Age Group,,Number  Ordering,https://drive.google.com/file/d/1zGoq56rtCS2I1laAGtEJz6zLsHfgV2dw/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,"4-5, 5-6",,,,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/19foHLIfix7QDDfV2lFIQFpk20HLQxnSU?usp=drive_link,https://f.io/6IXxLR25,GTG,No,Yes,Yes,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
058_sight_words_drink,29,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1TZ6YAODtFkTzStoYSIuCG9_MYvSPcjZC/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,JAI,GTG,No,No,Yes,No,https://f.io/mg6CN-CJ,https://drive.google.com/drive/folders/1x3Hlu5ZUhLhxNEuIwI1swLzAoVBZdr2u?usp=drive_link,https://f.io/OFtkqSKm,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
064_sight_words_big and little,31,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1x87qOcC8p1fIU5Mcosd-n61GWAyBtRfO/view?usp=drive_link,"May 18, 2026",Day 31 — May 18,3-4,,,,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1CeSfWYS5O5S3mcCrO65GuR8oazK7wjhK?usp=sharing,https://f.io/rNEXpCyj,GTG,Yes,No,No,No,,,No,No,No,No,,,,,,,,,,,,,,
062_sight_words_new and old,60,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1cpDys9zTn-1p0xUBIxRLpejLx22WofDO/view?usp=drive_link,"June 16, 2026",Day 60 — Jun 16,3-4,,,,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/16hU5hh7MwC1KR5gmTtYZJDkXN477RGJa?usp=sharing,https://f.io/I51COs4z,GTG,Yes,No,No,No,,,No,No,No,No,,,,,,,,,,,,Processing,,
061_sight_words_good,60,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1Mkrwn9umL3Rm7D6UJv848V9hKy-OF__r/view?usp=drive_link,"June 16, 2026",Day 60 — Jun 16,3-4,,,,RIYA,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1K0iLN9_d-f01ULGNleL1FuMKxFtZ1l2t?usp=sharing,https://f.io/Cjoa8SI5,GTG,Yes,No,No,No,,,No,No,No,No,,,,,,,,,,,,Processing,,
"060_sight_words_wake ",29,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1je8DCBfSCJTnJD99SesahP4aGknJmIsU/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,TARA,GTG,No,No,No,Yes,https://f.io/wP4MOWIX,https://drive.google.com/drive/folders/1ufgX6lL5lHJJOvXrGnFFMDeF074wtxTP?usp=sharing,https://f.io/67vDDZSd,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
059_sight_words_sleep,29,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1Bo5luYr5oGE8BXid37v8RDF-NLeflUpD/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,VEER,GTG,No,No,No,Yes,https://f.io/4G5oAiea,https://drive.google.com/drive/folders/1_ufxiFBCNRF4OHQ9hafmR5w2PCvdgxqJ?usp=sharing,https://f.io/a4TUPwcb,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
057_sight_words_eat,29,Pradeep,Animator,Uploaded,3-6 Age Group,,Sight  words,https://drive.google.com/file/d/1gS_BIPC4loPx_sEps0g5fcd-nKBGRwga/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1glafhbSoENCFGR2FniL5sQEyFWEhP96u?usp=sharing,https://f.io/a0q5LHda,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
063_english_speaking_stand_up,60,Aswathi,Animator,Uploaded,3-6 Age Group,Dhinesh,English speaking,https://drive.google.com/file/d/1XEFdENfCP7iGwutXoWoPZL1AUHhMwhFA/view?usp=drive_link,"June 16, 2026",Day 60 — Jun 16,"3-4, 4-5",https://drive.google.com/drive/folders/1U8NW_VYQ2CyF4LJlS6IxH40Umf1G_YD2?usp=drive_link,,,VEER,GTG,No,Yes,No,No,https://f.io/iWXsaa6a,https://drive.google.com/drive/folders/134zp9nseUqwfQC8YjdcilG0gd8okFqSt?usp=drive_link,https://f.io/kCwRi8pp,GTG,Yes,Yes,Yes,No,,,No,No,No,No,,,,,,,,,,,,Processing,,
062_english_speaking_sit_down,29,Aswathi,Animator,Uploaded,3-6 Age Group,,English speaking,https://drive.google.com/file/d/1A0bDXGLoteosByoAQ12tFQigFHzACLC6/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,"3-4, 4-5",,,https://drive.google.com/drive/folders/1TdpzuYt7K88t08_6koRn9ssRG2KVemYc?usp=drive_link,JAI,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1wEfFeg7eQpX6qUqYMFkiz_DJKvyScGBN?usp=drive_link,https://f.io/kouQA0M0,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
061_english_speaking_go_there,31,Ashish,Animator,Uploaded,3-6 Age Group,,English speaking,https://drive.google.com/file/d/1VoCJmGhJCXS0fyV2Ljz9xPv7UUA4E6Hs/view?usp=drive_link,"May 18, 2026",Day 31 — May 18,"3-4, 4-5",,,https://drive.google.com/drive/folders/1TdpzuYt7K88t08_6koRn9ssRG2KVemYc?usp=drive_link,,GTG,No,No,No,No,,,https://f.io/zzvqdhvx,GTG,Yes,No,No,Yes,"May 26, 2026",,No,No,No,No,,,,,,,,,,,,,,
060_english_speaking_come_here,31,Ashish,Animator,Uploaded,3-6 Age Group,,English speaking,https://drive.google.com/file/d/1G2LYWAQxW2ogYbZCoDGfBKmq0igIRrRV/view?usp=drive_link,"May 18, 2026",Day 31 — May 18,"3-4, 4-5",,,https://drive.google.com/drive/folders/1l-U-shZ0crYqasPD7MNZsPG2L2KvFhYI?usp=drive_link,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1l-U-shZ0crYqasPD7MNZsPG2L2KvFhYI?usp=drive_link,https://f.io/dbVyv0AM,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
059_english_speaking_please_forgive_me,29,Ashish,Animator,Uploaded,3-6 Age Group,,English speaking,https://drive.google.com/file/d/1o2t_aMponJP7ODWXAEEVj8JhkUYduiIP/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,"3-4, 4-5",,,https://drive.google.com/drive/folders/1TdpzuYt7K88t08_6koRn9ssRG2KVemYc?usp=drive_link,,GTG,No,No,Yes,No,https://f.io/1tpIEo_R,https://drive.google.com/drive/folders/1EtbD8pCEh1XzXSOY9ZcPZJrPUfrg_ois?usp=drive_link,https://f.io/0vL8Ay_o,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
057_english_speaking_no_problem,29,Ashish,Animator,Uploaded,3-6 Age Group,,English speaking,https://drive.google.com/file/d/13-zXhPqPB78OnthUrSyfmQOV0MgFQMxw/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,"3-4, 4-5",,,https://drive.google.com/drive/folders/1TdpzuYt7K88t08_6koRn9ssRG2KVemYc?usp=drive_link,,GTG,No,No,No,No,,https://drive.google.com/drive/folders/1b-_9qjZntlf_tLYKJgLoWX9hBecG2I9T?usp=drive_link,https://f.io/rH5Bp0sV,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
⁠letter N phonic sound,29,Akash P,Animator,Uploaded,3-6 Age Group,Himadri,Phonics,https://drive.google.com/file/d/1UN7X_GIyc6cduaSbyONiHJMXngtfoi0S/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,https://drive.google.com/file/d/1t9_-OQXJIHNpNsjqTaEDysAOrJGcMp-7/view?usp=drive_link,,https://drive.google.com/drive/u/0/folders/1CPwAsoFZNXk0SqQoN8NQXh2qFBPP2QnH,MIA,GTG,No,No,Yes,Yes,https://f.io/8jfrr1Ql,https://drive.google.com/drive/u/0/folders/10_3z_kE8LRgjJ3CuWL7k5jVn2kHA9OEx,https://f.io/r87fRObm,GTG,Yes,No,Yes,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
⁠letter I phonic sound,29,Akash P,Animator,Uploaded,3-6 Age Group,,Phonics,https://drive.google.com/file/d/1u-MofJ1fFDo4rrYGnMy9lAqwaBLRhsBj/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,ARJUN,GTG,No,No,Yes,Yes,https://f.io/YwriRcna,https://drive.google.com/drive/u/0/folders/1Ltm6l1pCZ-DhPydW7OLNCQ1qdWg9MIb2,https://f.io/mJzxxSZU,GTG,No,Yes,No,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
⁠letter P phonic sound,31,Akash P,Animator,Uploaded,3-6 Age Group,Himadri,Phonics,https://drive.google.com/file/d/1cJ7gpkGPi8SsPHYYNvimWxEZn7FnzjFY/view?usp=drive_link,"May 18, 2026",Day 31 — May 18,3-4,https://drive.google.com/file/d/1Iv68HYmhQpT0itmo0W7ApIiULIlYFkuq/view?usp=drive_link,,,,GTG,No,No,Yes,Yes,https://f.io/DsjLBzbS,https://drive.google.com/drive/u/0/folders/1FvnrDzUL-FDkeXfrXgqX1DSqCb4ctROV,https://f.io/iwlINgow,GTG,No,Yes,Yes,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
⁠letter T phonic sound,,Akash P,Animator,Blocker,3-6 Age Group,Aaheli,Phonics,,,,3-4,https://drive.google.com/file/d/1MHljfMy3UsN0t2key7Vrle8lA9T-DbVd/view?usp=share_link,Blocker,,,Correction,No,Yes,No,No,https://f.io/mB6ytUQc,https://drive.google.com/drive/u/0/folders/14nXMXpGm8JdcJdS2B5yXILjgtdt4UuJj,https://f.io/ot_VxPEO,Correction,Yes,Yes,Yes,No,,,No,No,No,No,,,,,,,,,,,,,,
⁠letter A phonic sound,29,Akash P,Animator,Uploaded,3-6 Age Group,,Phonics,https://drive.google.com/file/d/1oKSqXB8vDBTZvV92LRDoxcrPUg5oPLO2/view?usp=drive_link,"May 16, 2026",Day 29 — May 16,3-4,,,,TARA,GTG,No,No,No,No,,https://drive.google.com/drive/u/0/folders/1er4Hau0Z789nf3isWEOLEn13850DaqcZ,https://f.io/qBRWz9PH,GTG,No,Yes,Yes,Yes,"May 18, 2026",,No,No,No,No,,,,,,,,,,,,,,
