Age,Parent Category,Playlist Name
3-6,English,ABC
3-6,English,Phonics
3-6,English,Opposites
3-6,English,Songs
3-6,English,CVC Words
3-6,English,Words
3-6,English,Sight words
3-6,English,Simple sentences
3-6,English,English Speaking
3-6,Maths,123
3-6,Maths,Shapes
3-6,Maths,1-100
3-6,Maths,Greater & Lesser
3-6,Maths,Number Ordering
3-6,Maths,Before and After numbers
3-6,Maths,Missing numbers
3-6,Maths,Odd and even
3-6,Maths,Patterns
3-6,Maths,Counting
3-6,Maths,Addition
3-6,Maths,Subtraction
3-6,Maths,Money
3-6,Hindi ,Varnmala
3-6,Hindi ,Swar
3-6,Hindi ,Vyanjan
3-6,Hindi ,Vilom Shabd
3-6,Hindi ,Paryayvachi Shabd
3-6,Animals,Farm Animals
3-6,Animals,Wild Animals
3-6,Animals,Baby Animals
3-6,Animals,Sea Animals
3-6,Animals,Birds
3-6,Animals,Insects
3-6,Animals,Dinosaur
3-6,Stories,Hindi stories
3-6,Stories,English Stories
3-6,,Good Habits 
3-6,,My Body
3-6,,Colors 
3-6,,Vehicles
3-6,,Food 
3-6,,Fruits 
3-6,,Vegetables
3-6,,Community Helpers
3-6,,About India
3-6,,Art & Craft
3-6,,Home items
3-6,,Safety 
3-6,,Toys 
3-6,,Seasons
3-6,,Science
3-6,,Miscellaneous
3-6,,Knowledge
3-6,,Emotions
3-6,,Plants
3-6,,Time
3-6,,Action Words
3-6,,My Family
0-3,,Categories
0-3,,ABC
0-3,,123
0-3,,Colors
0-3,,Hindi Basics
0-3,,Rhymes
0-3,,Hindi Poems
0-3,,Good Habits
0-3,,Animals 
0-3,,My Body
0-3,,Fruits 
0-3,,Vegetables
0-3,,Vehicles 
0-3,,Toys
0-3,,Shapes 
0-3,,Birds
0-3,,Home Items
0-3,,Community Helpers
0-3,,Emotions
0-3,,My Family
0-3,,Words
0-3,,Knowledge
0-3,,Plants
0-3,,Nature
0-3,,Food
0-3,,Sea Animals
0-3,,Insects
0-3,,Opposites
0-3,,Action Words
0-3,,Cloths
0-3,,Festivals
0-3,,Golden Words
0-3,,Musical Instruments
0-3,,Places We Go
0-3,,Hindi Counting
0-3,,Professions
0-3,Maths,3D Shapes
0-3,,Science
6+,English,Phonics
6+,English,Opposites
6+,English,English Speaking
6+,English,Prepositions
6+,Maths  ,3D Shapes
6+,Maths  ,100-200
6+,Maths  ,Greater & Lesser
6+,Maths  ,Number Ordering
6+,Maths  ,Addition
6+,Maths  ,Subtraction
6+,Maths  ,Multiplication
6+,Maths  ,Counting
6+,Maths  ,Division
6+,Maths  ,Fractions
6+,Maths  ,Time 
6+,Maths  ,Money
6+,Stories,Hindi stories
6+,Stories,English stories
6+,,Good Habits
6+,,Community Helpers
6+,,My Body
6+,,My Family
6+,,Animals 
6+,,Birds
6+,,Food
6+,,Plants 
6+,,Science 
6+,,Space
6+,,Nature
6+,,Seasons
6+,,Sports
6+,,About India
6+,,Countries
6+,,Emotions
6+,,Knowledge
