video_id,title,ranking
501c588d-bd55-4700-8462-177718d00bf0,easy_maths_solutions_part_3_rs_1313_shorts_ramneek_singh_1313_shorts,1
4cd9f740-5c08-4440-b2c1-5b0c9c373c8c,ee_number_names_1to_10_uyirummeiyum_2ndgrade_shortsvideo_numbername1to10_numbers_names,2
79121ade-0f19-4957-82fc-f94c7a0c707a,table_of_18_18_18_ka_pahada_tables_shorts_short_viral_education,3
9198f9f9-972b-4df0-90df-daf9fbf09410,100_0_prem_chahar,4
dfd27acc-1abf-4982-9d23-82614d4ca9c2,number_names_101_to_200_study_number_names_maths,5
1a279267-b306-406e-9f96-2784492f75c2,easy_table_trick_for_kids_1100_1_100_trick_shorts_fun_ytshorts_viral_yt,6
5cfb0321-50b3-4f98-90f2-f0962ecfce08,find_the_predecessor_shortsfeed_prowess_maths_mathshorts_predecessor_basicmath,7
beaa1b63-00d4-42df-ae60-4e8036a581ae,fraction_into_percentage_convert_into_percentage_short_easy_math_mathematics,8
bf5abfb3-4ab8-41d5-9da7-ce08992bbbcf,nipunbharatviralvideo_youtubeshortsbasicclass,9
e791228c-11aa-4b0a-b0ed-7eb121372e7b,sign_problems_addition_and_subtraction_of_integers_how_to_place_negative_and_positive_sign,10
