video_id,title,ranking
328e4104-d394-4e04-8440-981f32b027ec,A_Z_Long_form_Video,1
d65e0d35-18e4-43ee-ae98-4fb980936727,Counting_1_to_10,2
c7c0b781-0efc-4d8c-9733-27d37bd82b1b,Learn_Numbers_1_to_10_Counting_to_10_Count_Numbers_1_2_3_4_5_6_7_8_9_10_With_Lucas_Friends___3QQ2BaL_zrw,3
fe8306b4-9a9f-4391-9db3-4a0a50dd5a51,Counting_11_to_20,4
44e6dc2c-4307-4bed-9698-7b23fa972725,Counting_Fun_Back_to_School_Numbers_1_to_10_Learn_to_Count_with_Excitement_-Universe,5
4bd877dc-6430-4796-afb5-bfd43ba14bcb,Fun_Counting_to_100_for_Kids,6
ac25d119-4ee5-42d7-883c-babeca61156f,Counting_Steps,7
2fec3057-fcda-44dc-8072-a29a50ba391f,Personification_Numbers_11_to_20,8
bde785db-3ae9-4936-a607-6eccf34e158d,High_Five_1_to_5,9
4fed026f-7682-407c-bbd3-6179a1f9d4cb,Personification_Numbers_1_to_10,10
