video_id,title,ranking
798e5e85-92f8-4d90-86f7-e55a65dddc8b,pyramid_rubiks_cube_solve_in_4_steps,1
2ee245e3-4b0f-458c-bab1-e92e905482d2,30_shapes_vocabulary_in_english_shorts_shapesvocabs,2
eeebed0d-aad6-4ba3-a558-8427872e514c,2D_vs_3D_Shapes_difference,3
b9370a16-0f18-4a9f-991c-22064ec82eb5,3d_cylinder_shorts_ytshorts,4
3a67f53e-a0fa-4981-8214-938a91fbb230,3d_shape_nets_stemactivities_handsonlearning_geometry_mathactivities,5
ca4b5cc2-b60b-479f-a927-eda12e33276c,3d_shapes_for_school_project_diy_3dmodel_craft_papercraft,6
73f8679f-8d19-4d86-9748-8ca3d7758de6,3d_shapes_model_maths_tlm_project_maths_working_model_for_exhibition_cube_cuboid_cylinder_cone,7
07bf4245-6fd6-4c16-af88-021bbafb5f68,3d_shapes_name_in_english_vocabulary_upbeelearnenglish_shortsyoutube_3dshapes_shorts_english,8
89c7a014-3d04-43fd-bcc5-9913e67a7f7c,area_of_polygon_mathwallah_shorts_formulas_mathsmasti_maths,9
0a4a97a5-4ad5-4e43-bc1d-e9c9d4cfa3e3,center_of_mass_concept_physicsexperiment_physics_scienceexperiment_arpitgupta_shorts_fun,10
