video_id,title,ranking
2577055a-e799-4710-8716-ffa3093d0e31,Comp_3-6_Addition_01___pg_36763e60e8f4800d90f4d07f40f5e0a1___ln_Hi,1
2effeb5b-de67-4f61-bb83-cd50667dfcda,Addition_2_2_4_3_3_6_4_4_8,2
7b19e271-035a-411d-b773-14656e27feea,Addition_21_3_3_0_3_2_1_3,3
6b14b79d-81e6-41f2-a7ca-a2f2069aa1b4,43_Simple_Addition_5_yrs,4
802445d6-3743-4f37-9247-c4700771f4d4,What_is_Addition_putting_together,5
4e343e56-9c45-4b37-acc5-055279f6b253,Comp_6_Addition_01___pg_36863e60e8f480c69c36f1aed7339341___ln_Hi,6
aad55a65-29f0-4c53-85c2-352ad97ea1c9,Adding_2-digit_1-digit_no_carry_video_4,7
162ac95e-cb2a-4238-9615-b1cd769e2847,3_write_3_times_30_3_3_30_mind_game_challenges_iq_test_shorts_matchstick_iuzwcvrjluq,8
5784a26a-c86c-4300-afc7-73d1234a1c04,table_of_8_fastest_and_easiest_table_shorts_tabletrick_tables_tableshorts_maths_education_zkupu_ljlng,9
8109f527-375c-4ed3-84bb-cce582f50f48,Addition_within_20_1,10
e8c68168-411d-4d32-a537-51b1be9538fc,2seconds_trick_impossible_shorttrick_dearsirmath_viralshorts,11
b83dde5a-cc37-4473-b30b-b69dcdf351ad,a_different_way_to_subtract_by_mr_bean_math_tricks_shorts_viral_tranding_math_mathtricks_pw,12
76f549dd-f89e-491f-a107-8baba3909d04,abacus_counting_easy_way_to_count_mental_math,13
19dd9c39-0c60-4c76-8ac8-8da22ef165c7,Adding_2digit_1digit_video3,14
9dc9c451-c3ae-434c-bc62-581f810142df,addition_of_mixed_fractions_maths_tricks,15
