video_id,title,ranking
b9a2b44d-ec7c-4394-8e6f-1105f1ef4025,Comp_3-6_Addition_01___pg_36763e60e8f4800d90f4d07f40f5e0a1___ln_Hi,1
d89eaef8-8c8c-474c-b631-0962f45e0c91,Addition_1_3_4_1_4_5,2
7b19e271-035a-411d-b773-14656e27feea,Addition_21_3_3_0_3_2_1_3,3
63dcd104-0b4a-4eaf-9465-9b4c63b89605,Addition_1_0_1_2_0_2_3_0_3,4
802445d6-3743-4f37-9247-c4700771f4d4,What_is_Addition_putting_together,5
2effeb5b-de67-4f61-bb83-cd50667dfcda,Addition_2_2_4_3_3_6_4_4_8,6
68668564-7238-485f-8911-5c0107f4b3d3,Addition_1_5_6_1_6_7,7
a254bdd9-2ade-4902-9fee-60ad67d0bd67,Addition_1_7_8_1_8_9_1_9_10,8
7eb15428-210d-44cd-8d53-c41e65acb021,Addition_1_1_2_1_2_3,9
6b14b79d-81e6-41f2-a7ca-a2f2069aa1b4,43_Simple_Addition_5_yrs,10
