video_id,title,ranking
4e343e56-9c45-4b37-acc5-055279f6b253,Comp_6_Addition_01___pg_36863e60e8f480c69c36f1aed7339341___ln_Hi,1
f1682ba0-e868-4dc5-99de-2b3572304051,Addition_within_20_2,2
063baeb5-1126-41cb-9825-2f95d18a9b3b,Addition_within_20_-_video4,3
8109f527-375c-4ed3-84bb-cce582f50f48,Addition_within_20_1,4
f7d8ec17-c141-4c52-8291-19601ff1df4a,Addition_within_20_3,5
d8d37925-2b8f-41d6-9617-054ad7b62432,Adding_2-digit_2-digit_5th_Video,6
d99a076b-9a6c-4ea9-b9cb-477ab84f3b27,Adding_2-digit_2-digit_no_carry_4_th_video,7
82884d72-6fd9-412b-a391-2fe5c1266dba,Adding_2-digit_2-digit_no_carry_Video_3,8
19dd9c39-0c60-4c76-8ac8-8da22ef165c7,Adding_2digit_1digit_video3,9
4c1f4137-cdc5-4082-8fe0-0ccff77bd241,Adding_2-digit_1-digit_no_carry_-_video5,10
