video_id,title,ranking
2bdd49b6-c50b-4cb7-a9c4-03e90f9c012e,cvc_words_bag,1
00a6bbb6-8792-4a39-ba95-8bbf081e8dc4,Thirsty,2
025dfb68-45df-4849-bcf5-da5d4f17a619,I_can_action,3
02defe2b-c185-4ca3-9f0c-a75201b2e6c4,007_abc_letter_q_queen_quilt,4
0370b8a3-c8cf-4d5c-8c23-9d03b508e5a0,Number_16,5
045ded08-f39b-4c20-a814-6c14e51032d0,033_colors_green_frog,6
0500feef-93c9-494f-9ff1-837d095bbd98,Earth,7
0574858b-80b0-4024-9d18-7ba7740870cf,letter_I_phonic_sound,8
057c83de-3dd6-4479-b502-3c90d95c0277,Teacher,9
0845a5ab-5dfd-4f43-b2f0-669ddd359f9f,019_simple_sentences_i_have_a_red_ball,10
