video_id,title,ranking
60c1b494-6b4e-4c6e-9b37-b4ddf52cdba3,Cvc_words_pig,1
ebfbf6d1-bfd6-46fd-acdb-c0a4204d0cd3,012_cvc_words_map,2
dc5b29be-a2bb-4e47-b90d-d8d29eaa3a4c,011_cvc_words_cap,3
ef5f5935-754a-4d7a-b61b-babb85c0cd93,Cvc_words_gig,4
716c8774-0c6d-4c57-a5c8-ca9ce80b09bb,068_cvc_words_rip,5
79b2878c-d417-4a50-ab21-c585d9795e76,Cvc_words_wig,6
e16360ad-486d-4e82-8cb6-141869ee609c,062_cvc_words_pit,7
91fa925c-ccff-420f-a67a-53e3ff9d0a11,070_cvc_words_tip,8
51d90f3b-e400-4b73-b896-8d3a6af4fe53,069_cvc_words_sip,9
d6bc2e7b-eb28-428e-9a89-763847fa643e,029_cvc_words_led,10
