video_id,title,ranking
f708579c-aea7-47f6-a0fb-514e86c661a1,COMP_3-6_1-10_1,1
e7e31afd-4959-4601-b061-c7aeee557299,Number_2,2
2382d84b-372f-47fb-94fb-63680b506c4e,Number_3,3
4929be32-ad77-44ae-bddc-cfd9fc523613,Number_4,4
4a4a9e13-8ccc-4156-947c-91782c85c13b,Number_5,5
a6afef5f-4126-4203-9a1b-0eafb2d9f858,Number_6,6
a0d286a2-89a3-4a8a-a70d-0790bd0a3149,Number_7,7
24c83184-f10d-4743-873a-c17ce7ca4b30,Number_8,8
13519309-6d90-4d20-a045-de5399342ed2,Number_9,9
10724bb4-5490-47e7-9986-40ecf1eae345,Number_10,10
