video_id,title,ranking
0722bfba-4430-42c9-a714-cc9a627e02e1,Long_3-6_English_Speaking_01___pg_36b63e60e8f480838abdf9cdf96f74fc___ln_Hi,1
11e36ea9-5ced-4deb-9298-972ab43b490d,063_english_speaking_stand_up___pg_36263e60e8f480458dace906e47262bc___ln_Hi,2
ccc8a1b9-53e5-4937-a732-9cad96a90d40,051_english_speaking_i_dont_like_this,3
1646a1e4-d4c2-4c22-9f2e-07f671a974db,045_english_speaking_i_miss_you,4
888dba01-aca7-4b02-9c58-90c33723db82,060_english_speaking_come_here,5
19ef9928-6c90-480b-aee6-fb25735b1f75,057_english_speaking_no_problem,6
c3514c61-f4ee-47ef-a5c8-da75f50e3fdf,015_english_speaking_i_have_a_brother,7
97fb3e07-6e36-4e9c-82b8-5ce6e7100595,059_english_speaking_please_forgive_me,8
d64eb475-f7d1-43ea-83d0-841080918f49,052_english_speaking_my_favorite_color_is,9
cfe09d3a-6659-48c9-9f1a-a861293b9461,008_english_speaking_welcome_home,10
