video_id,title,ranking
f119a712-71e8-431f-9dbe-4e8b7b1f9f2a,Long_3-6_Home_Items_04___pg_36e63e60e8f480558550eacc613d6a44___ln_Hi,1
fa2e230c-6d71-4865-844e-2aa96d2b5286,Long_3-6_Home_Items_01___pg_36963e60e8f4803b9387ef75940d8d6b___ln_Hi,2
87aa6d7c-2b32-4862-905e-f4950f209dce,Long_3-6_Home_Items_03___pg_36e63e60e8f4800a9b0ad9d158d4b6de___ln_Hi,3
b7925837-7841-483d-8fb2-83f5c449c0b8,19_Long_Home_Items_02_English,4
3bc5c481-be70-42c1-a21f-8c4a0af1286c,19_Long_Home_Items_02_Hinglish,5
51b12f57-a0ad-4779-a87b-c78228693186,Pen_Pencil___pg_35d63e60e8f480ed84a4eb5bc99413d5___ln_Hi,6
83d5f60e-f019-4634-b421-a29727078b28,Comb_Mirror___pg_35d63e60e8f480a096d8edde98dfd1d0___ln_Hi,7
927b0d06-cb3a-4d04-8db8-7a9d05dc2678,Table_Chair,8
e7930a3a-578b-4cdd-9db3-626f58d1194a,PurplePup_Fun_Home_Objects_Adventure_for_Toddlers_Kids_Learning_Series,9
7788353b-e7a0-42a1-8e56-d18f810d6b81,Curtain_Rod,10
