video_id,title,ranking
304c414d-a7a4-4057-861f-8fb2e743bd2d,Dairy_Foods,1
a41836ff-d221-4979-80fc-91b4d5652cd1,Water_Based_Food,2
13e4596c-891b-4ade-affd-94fbaf007ce4,Minerals,3
68286585-cbff-4aaf-8389-c4a384975dc1,Fiber,4
b082b797-79b9-4b0f-b044-b206a30ffc7f,Fats,5
0eb1b5d5-71c2-467c-83b9-eb6135a3fa3e,Proteins,6
072f8b9a-5b67-4e22-9cf8-cbbcf9f5c194,Grains,7
26634634-e75d-4747-8f6e-95933eb197d7,Vitamins,8
ddd52e37-e0f6-4c31-a95f-f88533af1265,Carbohydrates,9
3fec988b-87e6-48d6-a0eb-99a1d5bb541a,Fruits_and_Vegetables,10
