video_id,title,ranking
cebbfff8-f6c4-4287-83c8-6df15d4f8c57,Silly,1
7bb17686-99ad-4ce4-bbbe-8789c0deda06,Sleepy,2
b0be426d-ed4f-4a2d-b30a-2c2a208778f9,Smiling,3
d33d95b1-3fba-45ad-9e53-899c0a00f518,Surprised,4
140d1801-0b36-4b3c-ac89-49513161cded,Silly,5
b3154ca3-10b9-4ec1-a69a-461d123a3828,Sleepy,6
b8e53c60-fb66-4699-b877-7137eee60a7f,Surprised,7
00a6bbb6-8792-4a39-ba95-8bbf081e8dc4,Thirsty,8
2779c677-79d8-4386-a707-85fa1f10296f,Thoughtful,9
6b356ad0-da29-4865-9f51-68026d01668a,Tired,10
b818acc2-307a-4fd4-83fc-156fa24d6d1c,Uncomfortable,11
e26c2865-7513-46ed-b14d-c2ddfc564587,Worried,12
