video_id,title,ranking
3845899f-6230-4ed9-9966-b3c87bf1c057,Long_3-6_Emotions_03___pg_36c63e60e8f480118dc0d909ecc69da5___ln_Hi,1
be2c0d68-bfcd-4111-b64b-b6cc77bd3034,Long_3-6_Emotions_01___pg_36c63e60e8f4801ca9bcfa377c4fd7c6___ln_Hi,2
96c3ddd3-1baa-4c22-aaa8-23d3070e1e51,13_Long_3_6_Emotions_02,3
4be16431-5f8a-4edb-9656-ae91c99d1a20,Comp_3-6_Emotions_001___pg_36663e60e8f4806e9bb7cf507508756d___ln_Hi,4
385d1f83-dfc4-49ed-be76-21d214c0b1ea,Comp_3-6_Emotions_002___pg_36663e60e8f480eab7f1c92ba34a90f5___ln_Hi,5
25e65f7b-e2a9-42b6-8ace-ea1a3b586d3c,Comp_3-6_Emotions_004___pg_36663e60e8f4800a9ea7f879e71e7133___ln_Hi,6
a7997a29-742f-438c-9668-bfa73cf3112a,Comp_3-6_Emotions_003___pg_36663e60e8f48062910fe5386d5179a4___ln_Hi,7
ec1958df-adb2-4ba9-88cb-445d9d0cd9d1,Comp_3-6_Emotions_005___pg_36663e60e8f480f9a546e847a893273d___ln_Hi,8
ea99614d-f554-4838-94c3-577e3fbc1bd4,079_06_Feeling_Grateful,9
6ac38bbe-4e41-4283-9021-39426d94861a,05_3_6_Emotions_5_Audio_Fixed,10
