video_id,title,ranking
dcf92149-6e92-485c-a476-2917e594b87b,Multiplication_on_number_line_-_1,1
fcae7cf2-a25e-473d-8d64-ef7bf27e8016,Magic_of_2,2
cb1fc5fb-e636-4153-a840-4572c8f2f063,Magic_of_3,3
350bdba5-9281-4538-bd79-9e194beb40a7,Multiplication_on_Number_Line-_video_4___pg_36863e60e8f48061bbc4f4b7ee19d788___ln_Hi,4
5ad6f029-275c-4c63-8615-2fc14736c3ab,Multiplication_on_number_line_-_5,5
1b983f3a-bfc4-445a-981d-7df1ac7f3d58,Magic_of_6,6
3aaf64c7-72aa-4a4c-900a-affd99db2e0e,Multiplication_on_Number_Line-_video_7,7
d7d8d696-dbad-41d2-9927-5c3fe2ae4d6a,Magic_of_8,8
6e54a0ea-c21d-4845-8b5a-aacc5cffd448,Magic_of_9,9
94143589-0972-41b0-bd17-fadcc3436e4b,What_is_multiplication_video_10,10
