video_id,title,ranking
c05ae482-03a0-4103-9f50-a5ef36f35f68,Comp_3-6_Number_Ordering_Ascending_01___pg_36763e60e8f4805a9075c9d42683013a___ln_Hi,1
48a3ce62-4b52-4c3d-9c04-afe53b31815d,Comp_3-6_Number_Ordering_Descending_02___pg_36763e60e8f4805ba708d514ab1351b6___ln_Hi,2
2a57e014-cbc5-435c-a846-1797ce658a78,105_3-6_Ordering_to_1-20,3
cbe5b5eb-82b9-4e58-9a06-a024522378e9,Ascending_Order_1-10,4
11425a9a-9203-476c-bcdd-231bd497b03d,Descending_Order_5-1,5
1c23aafa-04aa-4e5a-8f51-a6b7cd634d77,106_3-6_Ordering_to_20-1,6
21b8c683-3860-4e20-9b13-a942f10b625f,103_3-6_Ascending_Order_1-10,7
e64edf55-433f-4224-b1e0-6ef19efe01ff,Ascending_Order_1-5,8
11a3ea34-ce5d-43a7-812d-ba5661e6bd95,102_3-6_Descending_Order_5-1,9
14704e69-9a63-4a29-8bdb-6d339cf8a6f2,104_3-6_Descending_Order_10-1,10
