video_id,title,ranking
e21b09cc-4584-41d4-99c3-0c7fcba23547,learn_opposite_words_for_kids_learn_antonyms_in_english_adi_keshari_ac_shorts,1
d04ed85f-034e-44bd-8199-f86bc2891fac,Day-Night,2
f68cb051-12e4-4cd8-b886-daa1a54189eb,Rich_-_Poor,3
bc9b1611-e276-4d3d-b63d-f0354307898e,Heavy_-_Light,4
fd782156-addd-4da9-8ec7-32d0fa93f2d3,Thick_-_Thin,5
961714e3-11be-4152-ab8a-3666bca894dc,Happy_-_Sad,6
275f9f41-e0ba-4cec-8356-7c6a16bb257a,Tall_-_Short,7
441d98d9-7c42-4e4a-afb2-54fa549e42c2,Hot_-_cold,8
baf42d2a-d222-41e5-ae67-047551f28cf1,Up_-_Down,9
475a9e80-3a89-448a-950b-544ddea3cdcb,Big_-_Small,10
