video_id,title,ranking
7c082287-bd0a-4871-8bd2-f44112043bba,Comp_3-6_Patterns_ABB_03___pg_36763e60e8f480919d97dacce88f0d5c___ln_Hi,1
9835d7c2-9092-4718-a831-667155cefe7b,Comp_3-6_Patterns_ABAB_01___pg_36763e60e8f480f4a9c9d7ded20eb86d___ln_Hi,2
ce382c97-5f59-479b-ac3f-e78c6d7bdfaa,105_3-6_AABB_Patterns_Red_Red_Yellow_Yellow_COLORS___pg_36163e60e8f480e3ba5bea384c5f1d1c___ln_Hi,3
3e8da903-79b8-4db9-8384-aac71e3a893d,111_3-6_Shape_Patterns_Circle_CircleSquare___pg_36563e60e8f48084aa98ca0e554c6a0a___ln_Hi,4
3cae52e6-74f5-41bf-bfa8-92847557438d,112_3-6_Shape_Patterns_Circle_SquareSquare___pg_36563e60e8f48011ae14ff9767aa2887___ln_Hi,5
53529c65-305d-4972-bb73-e3e5499e4740,113_3-6_Color_Patterns_RedRedBlue___pg_36563e60e8f4806085c6d0d9cbe1fe4a___ln_Hi,6
bba1e47f-3b96-4245-9c02-862c58127f86,114_3-6_Color_Patterns_RedBlueBlue___pg_36563e60e8f480bca1e1fd5ef229ec16___ln_Hi,7
9f104ad9-88a0-48fa-ad14-f521bcf06ba1,109_3-6_ABB_Patterns_Red_Blue_Blue_Red_Blue_Blue___pg_36563e60e8f4802b95a6c02e78ed3565___ln_Hi,8
9453574a-0bdf-4a84-b996-ab03068e997e,Comp_3-6_Patterns_Rest_04___pg_36763e60e8f48052b2faceaf74976f0e___ln_Hi,9
bf376608-ba00-4b1a-9441-91a86d219d9e,107_3-6_Color_Patterns_RedBlue___pg_36263e60e8f480d6b817ff40a19a72d3___ln_Hi,10
