video_id,title,ranking
41721395-baac-4ced-a539-5c21f4ae8913,023_phonics_long_a_sound_as_in_cake,1
f0149f20-8a33-4091-8a63-1904b2781a45,027_phonics_long_u_sound_as_in_cube,2
e23df25a-8c1e-430c-a976-0e3307c169a6,025_phonics_long_i_sound_as_in_kite,3
2df9bb65-44c0-4cc1-b5e5-95da49b5951e,024_phonics_long_e_sound_as_in_tree,4
c39b004a-3e90-4257-8858-e12372b1cb34,026_phonics_long_o_sound_as_in_boat,5
9e4c338c-5d43-4565-b3fc-5f43c0bc6fe3,long_vowel_a_sound_ytshorts_youtubeshorts_creativelearners_vowels_longvowels_phonics_jolly,6
94d8c0c5-5cb6-4d65-a5bc-db46403cbcf9,alphabet_phonics_song_for_our_live_song_totday_learn_letter_sounds_words_and_sign_language,7
9939ce52-3f1c-4642-becb-ba5247c341ab,phonics_song_phonics_sounds_of_alphabets_aisforapple_phonicssongs_kindergartenabcdsong,8
3c8356b8-01c0-41f3-a403-bc1f629e55cd,ABC_Letter_Sounds_Phonics,9
3d2c6913-df56-42d9-a6c0-2ed25ce5a121,letter_A_phonic_sound,10
