video_id,title,ranking
cbe5b5eb-82b9-4e58-9a06-a024522378e9,Ascending_Order_1-10,1
48a3ce62-4b52-4c3d-9c04-afe53b31815d,Comp_3-6_Number_Ordering_Descending_02___pg_36763e60e8f4805ba708d514ab1351b6___ln_Hi,2
11425a9a-9203-476c-bcdd-231bd497b03d,Descending_Order_5-1,3
93836b6f-47f6-4bf5-be70-6a28d67cc98e,Descending_Order_10-1,4
2ce9b8fd-2ae0-4f3c-b435-032eee4d85e5,101_3-6_Ascending_Order_1-5,5
11a3ea34-ce5d-43a7-812d-ba5661e6bd95,102_3-6_Descending_Order_5-1,6
21b8c683-3860-4e20-9b13-a942f10b625f,103_3-6_Ascending_Order_1-10,7
14704e69-9a63-4a29-8bdb-6d339cf8a6f2,104_3-6_Descending_Order_10-1,8
2a57e014-cbc5-435c-a846-1797ce658a78,105_3-6_Ordering_to_1-20,9
1c23aafa-04aa-4e5a-8f51-a6b7cd634d77,106_3-6_Ordering_to_20-1,10
b173ebb5-b7ec-4f27-86ed-1e87a5f3b9cb,Comp_6_Number_Ordering_01___pg_36863e60e8f480298ce0e2c335ef3b7a___ln_Hi,11
01306dc1-867e-4183-a407-0202b67dfe43,Comp_6_Number_Ordering_02___pg_36963e60e8f480f2b44ac0c5f8c5df50___ln_Hi,12
e651c22f-79d3-413a-8ff5-944b24d19898,Comp_6_Number_Ordering_03___pg_36963e60e8f480b994b2c83b782c141a___ln_Hi,13
03fa96b7-802f-441b-9069-b9fc6837900d,Comp_6_Number_Ordering_04___pg_36963e60e8f4806eb78ee9c7e1359439___ln_Hi,14
5ac0d8ab-a3f6-4c58-89a2-c2f27e220387,Comp_6_Number_Ordering_05___pg_36963e60e8f48062a9d6e0f3efb0ff5f___ln_Hi,15
71e78475-4499-4cd6-8565-6ff2437e83f9,Comp_6_100-200_01___pg_36863e60e8f480f7a8e1dbde8231254b___ln_Hi,16
b47d237d-b259-4c77-833e-43431a0b5d93,103_6_Ascending_order_from_smallest_to_biggest-_2_6_8_41_537910_12345678910,17
a333a880-7c20-4b08-8856-81a6296f3cfb,104_6_Descending_order_from_biggest_to_smallest_-_2_6_8_41_537910_10987654321,18
b416c225-fa87-4dce-a53e-2daee42e9459,105_6_Ordering_2-digit_numbers_Example_102040609030507080_102030405060708090,19
2e9cc790-ecc5-4e3a-b506-6fe2ba977472,106_6_Ordering_2-digit_numbers_Example_441155226677998833-_112233445566778899,20
