video_id,title,ranking
0e596516-9590-4837-81b2-580a190a29a6,005_greater_lesser_long_vs_short,1
4fbbe8b8-2a90-49e9-b304-936be56cc91e,Equal_To_Symbol,2
e7dded5e-dc4c-44d8-84da-e125500e91d9,More_vs_Less_Objects,3
561b54cf-49cd-4dc0-8f6a-9f9c23bacb4d,Big_vs_Small_Objects,4
7076b8f0-1c60-4ff3-b302-534559d7825f,Comparing_2_Groups,5
f8c54e18-709c-462a-ae7d-1479623e05db,004_greater_lesser_tall_vs_short,6
96ebb2cd-baf0-44ce-9b07-08980825a81c,002_greater_lesser_big_ball_vs_small_ball,7
58af002f-d033-4670-87ea-c67e8c9f2809,001_greater_lesser_big_apple_vs_small_apple,8
b4982e44-b1b1-4069-8313-bf5ac87d5255,003_greater_lesser_big_elephant_vs_small_mouse,9
74372ed8-9a91-402a-a468-4e9f07b00b24,greater_than_less_than_equal_to_symbols_gjdalprgksk,10
