video_id,title,ranking
36f6fe30-d9c5-4f3c-933a-e0a5b2513b3d,Comp_3-6_Patterns_ABAB_01___pg_36763e60e8f480f4a9c9d7ded20eb86d___ln_Hi,1
7c082287-bd0a-4871-8bd2-f44112043bba,Comp_3-6_Patterns_ABB_03___pg_36763e60e8f480919d97dacce88f0d5c___ln_Hi,2
eb5c6e49-377f-4893-b3a1-ae899e8537be,Comp_3-6_Patterns_Rest_04___pg_36763e60e8f48052b2faceaf74976f0e___ln_Hi,3
0c9ba808-fb19-467b-a1c9-03089856803b,102_3-6_AAB_Patterns_Red_Red_Blue_Red_Red_Blue___pg_36163e60e8f48044aa55c8dd28a0d230___ln_Hi,4
44eb3306-82d5-43e7-8dea-0027c29af699,103_3-6_ABB_Patterns_Circle_Square_Square_Circle_Square_Square___pg_36163e60e8f48029836fcf6978af1992,5
e5caead1-70ad-4642-964d-10e68397f798,104_3-6_ABC_Patterns_Red_Blue_Yellow_Shapes___pg_36163e60e8f48017bc6bd87eeb88eeeb___ln_Hi,6
ce382c97-5f59-479b-ac3f-e78c6d7bdfaa,105_3-6_AABB_Patterns_Red_Red_Yellow_Yellow_COLORS___pg_36163e60e8f480e3ba5bea384c5f1d1c___ln_Hi,7
84d239a1-d7c0-466e-bd31-ce94a5775510,106_3-6_Shape_Patterns_Circle_Square___pg_36263e60e8f480d2be95e35459b153b0___ln_Hi,8
b26bfa36-384a-4ab6-9ef8-93e9c6aa4caa,107_3-6_Color_Patterns_RedBlue,9
07b3d6eb-0a9d-407f-82bc-88b9107a0789,108_3-6_Size_Patterns_Full_length,10
