video_id,title,ranking
2eb0a7a0-6533-41dc-b0fb-08028cb3aafc,How_Sports_Make_Us_Strong,1
00a18e6a-983d-45fa-a7a2-68c06d6570ce,Giving_Directions,2
0130db39-506d-48e5-b85d-fc1c1f909e34,006_simple_sentences_i_like_ice_cream,3
01b03f94-f593-4763-bf08-39535d73a82f,Kangaroo,4
02831618-ae0c-4756-90a4-85bba2cd85eb,110_6_Breathing_and_the_Respiratory_System,5
f68cb051-12e4-4cd8-b886-daa1a54189eb,Rich_-_Poor,6
04278c57-9584-4c8a-82e6-c9e65ff96e01,030_simple_sentences_i_see_a_tree,7
04475d77-addf-4534-ab7b-09f673781bf9,Father,8
aa3be6f3-f0e2-4f69-86c0-32145afeeb39,103_6_Day_and_Night_in_Space,9
06b9d09c-77d3-4b65-acb7-2711219f0b85,Taxi,10
