video_id,title,ranking
72b5b549-1c33-4f7d-bdc0-c32807bbd07b,Long_3-6_Science_01___pg_36c63e60e8f4806799b6df22cf138d52___ln_Hi,1
1745e9dc-a03e-476a-88eb-99dac97790d9,Long_3-6_Science_02___pg_36c63e60e8f480818087e74fd1e29ad0___ln_Hi,2
1dee3629-9817-4e0a-8f20-582ba7c155fd,54_Earth_and_sky,3
4c3b7281-e485-4046-b481-d3704130f68c,Aliens_imaginaryfun,4
7c4b85b7-50a3-4958-be63-e6b16f92e202,Asteroids,5
ef9553bc-6d26-42e6-9ac6-26c8cbdb2cf7,Astronaut,6
4b055c20-b0f6-4f84-a362-938fbd9b5a45,Balloons_and_air,7
64c0fdd9-6f83-4c81-8693-b41efb5c107b,City,8
29e514a3-0317-4a39-938b-966cce61ef26,Clean_and_dirty_water,9
76a91667-3e63-4e92-b62d-9843d6022241,Continents,10
936b5cb7-286b-4df9-9e61-178ffa79ab7a,animal_adaptation_natures_survival_strategies_1,11
fcce7fbe-90e1-4cf7-bf6b-c23799585063,2_shorts,12
a3b12549-fc43-4c30-897d-d33f5a656ee8,science_3_magic_tricks_crazy_mind_factz_shorts,13
8a0eee15-d4c6-41ee-b7ce-69189fff9ef0,mind_blowing_psychological_facts_amazing_facts_human_psychology_top_10_hinditvindia_shorts,14
ee00071e-a935-4c04-af7a-d4e524329a6e,only_30_grams_of_this_element_exists_periodic_table_facttechz_short_amazing_facts_show_shorts,15
aa3be6f3-f0e2-4f69-86c0-32145afeeb39,103_6_Day_and_Night_in_Space,16
87e9691e-2c42-45d8-b3b8-3cb03deb345c,104_6_Astronauts_and_Space_Travel,17
75af7b05-4e2e-4ee1-be8e-1a462114e273,105_6_Rockets_and_Spacecraft,18
1680093e-ed5b-4767-9b0f-fde07bdffffe,108_6_Meteors_Asteroids_and_Comets,19
e658179c-4dc6-4ba6-82c3-546418cc1c72,amazing_science_experiment_experiment_lifehacks_youtubeshorts_shorts,20
