video_id,title,ranking
9f9c77b4-0095-4499-9bdf-071a1d9d4379,Long_3-6_Simple_sentences_03___pg_36d63e60e8f4802bb400cbaa0cd8f4d9___ln_En,1
ee300dc8-bb48-4ae1-b8ab-32c45365e859,Long_3-6_Simple_sentences_04___pg_36d63e60e8f480e3b969f872b9eb9339___ln_En,2
c8a521b6-9d98-446a-9f9a-5441c83a2b32,Long_3-6_Simple_sentences_05___pg_36d63e60e8f480e286ccef72f64d9e09___ln_En,3
52e20f4c-b235-4456-a1c2-3ca4565c7c3b,Long_3-6_Simple_sentences_01___pg_36d63e60e8f480babde7f1c5e1e4a9cc___ln_En,4
c4c0689d-2ce3-4325-b63b-10536bc2f2f7,044_simple_sentences_it_is_night_time,5
0bd77031-6dc8-4261-b926-c802c235ffd1,040_simple_sentences_it_is_windy,6
3a2b6746-f793-4607-a17c-452927ecf7ff,041_simple_sentences_it_is_cloudy,7
c8a53782-9898-42d4-944f-a5b717a9683a,039_simple_sentences_it_is_raining,8
2e271aea-f817-47a7-9757-3c1e33710ac1,040_simple_sentences_it_is_sunny,9
1e0956c9-67ae-404a-a1db-9db4313cb903,043_simple_sentences_it_is_morning,10
