video_id,title,ranking
2a82cd95-298d-413a-a486-7d48ec5bafb1,061_sight_words_good___pg_36263e60e8f4802480c2c10fd31928d4___ln_Hi,1
32a28e15-da9d-43ce-9000-0549476ea470,062_sight_words_new_and_old___pg_36263e60e8f480f78f5fe201af2f1a85___ln_Hi,2
36968eb8-dbe6-42d4-913e-347a52a3f572,Sight_words_sit,3
cfad1086-7461-4ffe-bfd1-6c9671313684,Sight_words_who,4
db1991d1-6607-4bc9-8f38-06c772722622,Sight_words_run,5
8ad0c1ba-5b38-422f-b25a-a63284ac1ba4,006_sight_words_be,6
7110fd7d-d0b3-413f-a681-b36e1062c468,057_sight_words_eat,7
c72c238b-95e5-4d0f-904c-3d236afd6595,It,8
76bf14b2-3576-4ae1-be2b-b74508b2e5fc,058_sight_words_drink,9
b7832a9d-83af-42d2-af48-0943e62eff78,Sight_words_look,10
