video_id,title,ranking
e41e5fbb-c974-4e17-b14d-24e7631f96d2,Topic_6_Advanced_shapes_Oval_Star_Heart_Diamond_Hexagon_Pentagon_Semi_circle,1
1f45f234-a574-468a-b73a-86f4232f5cef,002_shapes_semi_circle,2
f6f2686b-4149-4b6a-bee8-e399bc49522f,Shapes_Square_Circle_1,3
7ef455e3-9ef2-40ab-afd5-17b964646ac0,Diamond,4
2c747db5-b5f8-41ff-945a-c6d992408a93,006_shapes_crescent_moon_shape,5
e123243f-2743-458d-bbac-7be980b7c83b,001_shapes_cube_3d,6
817c63ce-cee1-46a5-84f2-2ae400437ea3,Square,7
ab66aae2-d5d7-4c25-95a2-3ac1a596ed42,Shapes_trace_octagon,8
4d6cfe4a-151f-409f-93c3-39a0d9c28cdb,Triangle,9
6613f52a-7a89-4fb6-8c1b-d6f62ee866e9,Circle,10
