video_id,title,ranking
51f48d00-4756-4369-aae7-85e60a608682,Long_3-6_Safety_01___pg_36963e60e8f480c0ac78ffe23eba756c___ln_Hi,1
f474f328-cbc5-45b5-914e-9fa3e0bd116f,Long_3-6_Safety_02___pg_36963e60e8f480d986b4ce6e5e0038cd___ln_Hi,2
df666315-b125-443e-a93d-0e94c833c43f,Do_not_play_with_matches_or_candles,3
7601187c-9160-42c4-8361-a3fa3d00aeb3,Do_not_run_on_roads,4
9cdcc6c8-5a08-4321-93a5-c2472724e21b,Do_not_touch_fire_stove_or_hot_things,5
223222dd-4a92-46b6-8a46-a4d48ddff963,Do_not_touch_plugs_wires_or_switches_with_wet_hands,6
9399e0a8-68da-4c7a-bbef-f5b14aef2926,dont_touch_the_iron_safety_tips_for_kids_diphufkojxs,7
95cd5f2d-fb39-4200-a5bf-6a881c84212f,electricity_safety_for_kids_stay_safe_an,8
49f8c4b2-a35d-45d2-8dfe-3c6a5503c2cb,fire_safety_rules_for_kids_learning,9
e8fdd57c-27d4-4329-a8a1-73d423658c98,Hold_an_adults_hand_while_walking_outside,10
