video_id,title,ranking
50b5dbd7-8485-4429-82e6-ccdd4bbe99e9,Subtraction_by_Counting_Back_on_Fingers_12-5_Math_for_1st_Grade___xnQ11Bpv-68,1
beea1c44-12d8-4ca2-b315-18980eba86b7,46_Simple_subtraction_45_yrs_Bananas_Song,2
7c02d5c4-8bf3-42d6-b420-578e4ce1c545,48_Simple_Subtraction_5_yrs,3
2e82c119-9dfc-4015-a364-67d63db0398a,heavy_minus_sign_Quick_Subtraction_heavy_minus_sign_Learn_to_Count_Numberblocks_Learningblocks,4
d1ab6bc3-1819-4752-8538-7685d0b4f130,How_to_Subtract_with_Regrouping_Easy_Math_Lesson_for_Kids,5
429f4a9a-8724-4097-ba4a-77632586f52f,How_to_Subtract_with_Regrouping_Easy_Math_Lesson_for_Kids___whGG2OwvJ_g,6
169890f7-db53-4d0c-95c1-30b5349eba35,Learn_to_Subtract___k6HVv-yxXrc,7
60f5a2ab-9d14-4ee7-aaae-280891d01041,Quick_Subtraction_Learn_to_Count_Numberblocks_Learningblocks,8
ff84866e-20b9-45ed-bf0e-27c7b6c61ebe,Subtraction_Superheroes_Subtract_Fun_Learn_to_count_-Universe___B2RCRd-sRlo,9
2bddb590-3d2d-4223-8ed5-194eb4628bb7,Subtraction_Superheroes_Subtract_Fun_Learn_to_count_Blocks-Universe,10
edae9196-5a85-4e82-bfae-c04d207ed645,Subtracting_1_digit_from_2_digit_Vid_1,11
0b178adb-e51c-457b-9103-46751c9c1629,Comp_6_Subtraction_02___pg_36863e60e8f480509ee1c13bee5aff3a___ln_Hi,12
19aac777-6b2f-4543-9459-3ddbddf08a87,Comp_6_Subtraction_03___pg_36863e60e8f480bba19bd32f4940d350___ln_Hi,13
e076205e-aaef-4980-9779-8dc297f78997,subtraction_trick_in_10_seconds_shorts_mathematics_maths_learning_vedantumath,14
0476b20d-a4fb-4fc2-a5fd-269fe5465606,Substraction_within_20_2,15
f17978a3-39c2-41ff-a3a7-fa88b9a2abd2,fraction_of_shaded_portionmaths,16
427f373d-3c4f-49cc-b0b4-4d4a10cdbdb9,how_to_find_volume_cube_simple_shorts_maths,17
9daa2778-d573-4177-b15c-a669ab357c24,how_to_subtract_from_left_to_right,18
1626387b-5427-4fc8-a917-7e7a9698e12a,jab_dear_sir_student_the_ageconcept_shorts_dearsir_funny_maths,19
c9bcea7b-2d0b-43cf-9041-ffe4d6ffc33c,lowest_termsimplest_form_shorts_fraction_maths,20
