video_id,title,ranking
bc86dc22-0aaf-45fe-b0ae-1915fb1243de,What_is_Subtraction_taking_away,1
2e82c119-9dfc-4015-a364-67d63db0398a,heavy_minus_sign_Quick_Subtraction_heavy_minus_sign_Learn_to_Count_Numberblocks_Learningblocks,2
50b5dbd7-8485-4429-82e6-ccdd4bbe99e9,Subtraction_by_Counting_Back_on_Fingers_12-5_Math_for_1st_Grade___xnQ11Bpv-68,3
60f5a2ab-9d14-4ee7-aaae-280891d01041,Quick_Subtraction_Learn_to_Count_Numberblocks_Learningblocks,4
2bddb590-3d2d-4223-8ed5-194eb4628bb7,Subtraction_Superheroes_Subtract_Fun_Learn_to_count_Blocks-Universe,5
7c02d5c4-8bf3-42d6-b420-578e4ce1c545,48_Simple_Subtraction_5_yrs,6
beea1c44-12d8-4ca2-b315-18980eba86b7,46_Simple_subtraction_45_yrs_Bananas_Song,7
ff84866e-20b9-45ed-bf0e-27c7b6c61ebe,Subtraction_Superheroes_Subtract_Fun_Learn_to_count_-Universe___B2RCRd-sRlo,8
429f4a9a-8724-4097-ba4a-77632586f52f,How_to_Subtract_with_Regrouping_Easy_Math_Lesson_for_Kids___whGG2OwvJ_g,9
169890f7-db53-4d0c-95c1-30b5349eba35,Learn_to_Subtract___k6HVv-yxXrc,10
