video_id,title,ranking
44b63744-eb29-424f-bbd8-539be7f9de0e,Comp_6_Subtraction_01___pg_36863e60e8f48023a408f3c15c8b651e___ln_Hi,1
19aac777-6b2f-4543-9459-3ddbddf08a87,Comp_6_Subtraction_03___pg_36863e60e8f480bba19bd32f4940d350___ln_Hi,2
0b178adb-e51c-457b-9103-46751c9c1629,Comp_6_Subtraction_02___pg_36863e60e8f480509ee1c13bee5aff3a___ln_Hi,3
47b79816-4ead-42b7-bec5-b97c588dd5e0,subtraction_with_in_20_video04,4
76a71d78-06a1-4cf8-bd22-2d2b3091b5eb,Subtraction_within_20_-_video5,5
e1848a24-04d5-4b3c-a1d9-4ff88c6c10b5,Subtraction_2-digit_2-digitno_borrow_5,6
1d698ed3-42aa-46f9-8869-ab8b00becc5e,Subtracting_2-digit_-_2-digit_no_borrow_Vid_2,7
0a50ee94-20b5-401e-b4b1-f412e5829de4,Subtracting_1_digit_from_2_digit_Vid_6,8
ad2b4730-8544-462a-a2a3-be99866040af,Subtracting_2-digit_-_2-digit_no_borrow_VIDEO_4,9
edae9196-5a85-4e82-bfae-c04d207ed645,Subtracting_1_digit_from_2_digit_Vid_1,10
