video_id,title,ranking
87b8e58e-426a-430c-adc5-5d365f99443e,026_varnmala_vyanjan_ra_se_rassi,1
9992d468-a09e-4828-b19f-26b262e472d2,025_varnmala_vyanjan_ya_se_yagya,2
b4bf1e6e-03df-4793-9bc9-05a89a1f51e4,020_varnmala_vyanjan_pa_se_patang,3
e48d8233-201f-4278-8464-3b1e33189dac,031_varnmala_vyanjan_sa_se_saanp,4
216a238b-20d2-4a9f-8f5a-f866f2137880,034_varnmala_vyanjan_tra_se_trishul,5
529e2053-d5a3-4333-8554-99bee05a50bc,023_varnmala_vyanjan_bha_se_bhaalu,6
e23122b1-cfbb-48ef-8f6b-3d34d8d9c8f2,018_varnmala_vyanjan_dha_soft_se_dhanush,7
e1f225c8-b39f-41b6-9ab5-c98dccc060cd,033_varnmala_vyanjan_ksha_se_kshatriya,8
4d1dd43c-d689-4d18-8da2-883ccd3c5fcc,030_varnmala_vyanjan_sha_sha_se_shatkon,9
84a4b288-8d4a-4585-8f3b-62d774498e84,004_varnmala_vyanjan_ga_se_gaay,10
