video_id,title,ranking
8a660a34-f32a-40ca-a35f-54a459c5d96a,Airport,1
ad2d4f95-46cf-4f7e-9bc1-a5e7b9c80af0,Astronaut,2
29345f97-8038-4772-86bb-8c8107e1c613,Auto_Driver,3
19973191-707c-4ad8-92a7-6d2bcb737204,Barber,4
84c8f51a-b242-4b8c-971f-1497462a5b58,Bus_Driver,5
8b3bd7b0-cd18-46c1-9575-5f8597a4b7cd,Bus_Stop,6
0262a533-35f1-4ee2-8c89-3a105c73f27c,Carpenter,7
d0e4e2b0-da98-499f-b470-d6ae0009079c,ChefCook,8
27493a6b-db01-4648-9051-a8118797bcd9,Cleaner,9
c18b084b-4b4e-4552-939b-985fc36d518c,ClownJoker,10
