video_id,title,ranking
072ced44-c157-4207-b707-862d9b9bf108,Long_3-6_Community_Helpers_01___pg_36b63e60e8f480b1b1fedbd8871b19fc___ln_Hi,1
40a41082-a7db-49b9-a138-23e68b9d5aca,10_Long_3_6_Communityhelpers_01,2
4c6d5a24-ae87-4fc3-aad0-461907c31de1,003_community_helpers_shopkeeper,3
8d541581-b961-4a8c-b657-fb08a4052ee0,014_community_helpers_dentist,4
12f63260-401a-4ab7-b5be-781533686e26,001_community_helpers_milkman,5
a5e4af17-e5b6-44f0-83de-ee5c3c0cd4e1,007_community_helpers_carpenter,6
6caec73a-f3e0-4bf3-b78a-193f39a7a9c8,015_community_helpers_cobbler,7
61b341b8-9521-48d8-a0c9-01e8a01a7c60,002_community_helpers_gardener,8
60801b95-c799-487a-acdf-04b453ed436e,013_community_helpers_baker,9
bd93ad65-6f59-4b26-ba58-d05e13f49973,009_community_helpers_electrician,10
